Crossover = 83
Trials = 10
Size	Traditional	Strassen
466	0.369235	0.307276	1
467	0.404920	0.325975	1
468	0.377301	0.304831	1
469	0.372850	0.312760	1
470	0.385486	0.303105	1
471	0.386734	0.311309	1
472	0.416542	0.319160	1
473	0.382092	0.323290	1
474	0.392406	0.334645	1
475	0.379804	0.329881	1
476	0.393896	0.328423	1
477	0.447330	0.324088	1
478	0.403465	0.330998	1
479	0.413169	0.317090	1
480	0.391212	0.315100	1
481	0.409517	0.414003	0
482	0.437235	0.343507	1
483	0.419224	0.348626	1
484	0.409030	0.329938	1
485	0.424720	0.335903	1
486	0.531851	0.394391	1
487	0.432254	0.333770	1
488	0.445294	0.328872	1
489	0.423198	0.354496	1
490	0.423857	0.349731	1
491	0.436935	0.348399	1
492	0.428441	0.378288	1
493	0.442751	0.357093	1
494	0.517048	0.463721	1
495	0.442817	0.349700	1
496	0.435817	0.358455	1
497	0.445178	0.384150	1
498	0.464155	0.451316	1
499	0.446707	0.360506	1
500	0.469459	0.370896	1
501	0.464121	0.363910	1
502	0.464653	0.426245	1
503	0.491108	0.369653	1
504	0.464039	0.372151	1
505	0.463565	0.380531	1
506	0.469313	0.424818	1
507	0.500232	0.384202	1
508	0.473143	0.379981	1
509	0.472796	0.373386	1
510	0.493280	0.408719	1
511	0.505924	0.379776	1
512	0.480038	0.379008	1
513	0.498451	0.407727	1
514	0.497055	0.401466	1
515	0.489822	0.392298	1
516	0.490941	0.417591	1
517	0.522209	0.401337	1
518	0.553668	0.406718	1
519	0.500429	0.425812	1
520	0.525184	0.419420	1
521	0.530405	0.419608	1
522	0.509446	0.416235	1
523	0.542640	0.489953	1
524	0.554567	0.432644	1
525	0.718053	0.429005	1
526	0.533453	0.423197	1
527	0.537254	0.437328	1
528	0.551402	0.442894	1
529	0.555695	0.463689	1
530	0.537936	0.436658	1
531	0.557873	0.474316	1
532	0.565442	0.461672	1
533	0.551792	0.455898	1
534	0.562543	0.464871	1
535	0.562237	0.452094	1
536	0.575267	0.448802	1
537	0.587507	0.475031	1
538	0.616858	0.481274	1
539	0.583309	0.489894	1
540	0.591598	0.470973	1
541	0.585689	0.483769	1
542	0.591926	0.475566	1
543	0.594704	0.481405	1
544	0.608289	0.498172	1
545	0.608083	0.497858	1
546	0.609151	0.504372	1
547	0.607812	0.501858	1
548	0.623814	0.504068	1
549	0.594885	0.484371	1
550	0.642389	0.540784	1
